Training: 2023-08-17 21:02:38,665-rank_id: 0
Training: 2023-08-17 21:03:25,946-Speed 141.41 samples/sec   Loss 2.0551   LearningRate 0.000002   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:03:28,211-Speed 141.32 samples/sec   Loss 2.0566   LearningRate 0.000002   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:30,454-Speed 142.67 samples/sec   Loss 2.0369   LearningRate 0.000003   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:32,705-Speed 142.22 samples/sec   Loss 2.0076   LearningRate 0.000003   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:34,955-Speed 142.28 samples/sec   Loss 2.0038   LearningRate 0.000003   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:37,203-Speed 142.38 samples/sec   Loss 1.9850   LearningRate 0.000003   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:39,447-Speed 142.64 samples/sec   Loss 1.9584   LearningRate 0.000003   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:41,714-Speed 141.19 samples/sec   Loss 1.9704   LearningRate 0.000003   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:43,961-Speed 142.45 samples/sec   Loss 1.9316   LearningRate 0.000003   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:46,221-Speed 141.64 samples/sec   Loss 1.9382   LearningRate 0.000004   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:48,460-Speed 142.97 samples/sec   Loss 1.9329   LearningRate 0.000004   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:03:50,696-Speed 143.19 samples/sec   Loss 1.9011   LearningRate 0.000004   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:03:52,920-Speed 143.92 samples/sec   Loss 1.9094   LearningRate 0.000004   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:03:55,169-Speed 142.31 samples/sec   Loss 1.9105   LearningRate 0.000004   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:03:57,426-Speed 141.79 samples/sec   Loss 1.9017   LearningRate 0.000004   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:03:59,693-Speed 141.22 samples/sec   Loss 1.8785   LearningRate 0.000005   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:01,950-Speed 141.82 samples/sec   Loss 1.8901   LearningRate 0.000005   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:04,209-Speed 141.69 samples/sec   Loss 1.8761   LearningRate 0.000005   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:06,468-Speed 141.71 samples/sec   Loss 1.8862   LearningRate 0.000005   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:08,750-Speed 140.29 samples/sec   Loss 1.8647   LearningRate 0.000005   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:11,034-Speed 140.12 samples/sec   Loss 1.8503   LearningRate 0.000005   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:13,306-Speed 140.89 samples/sec   Loss 1.8198   LearningRate 0.000005   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 262144   Required: 4 hours
Training: 2023-08-17 21:04:15,561-Speed 141.96 samples/sec   Loss 1.8373   LearningRate 0.000006   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 262144   Required: 4 hours
Training: 2023-08-17 21:04:17,833-Speed 140.89 samples/sec   Loss 1.8749   LearningRate 0.000006   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 262144   Required: 4 hours
Training: 2023-08-17 21:04:20,103-Speed 141.00 samples/sec   Loss 1.8414   LearningRate 0.000006   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 262144   Required: 4 hours
Training: 2023-08-17 21:04:22,377-Speed 140.75 samples/sec   Loss 1.8183   LearningRate 0.000006   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 262144   Required: 4 hours
Training: 2023-08-17 21:04:24,633-Speed 141.87 samples/sec   Loss 1.8440   LearningRate 0.000006   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:26,892-Speed 141.73 samples/sec   Loss 1.7855   LearningRate 0.000006   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:29,161-Speed 141.08 samples/sec   Loss 1.7834   LearningRate 0.000007   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:31,426-Speed 141.31 samples/sec   Loss 1.7983   LearningRate 0.000007   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:33,691-Speed 141.27 samples/sec   Loss 1.8035   LearningRate 0.000007   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:35,965-Speed 140.78 samples/sec   Loss 1.7817   LearningRate 0.000007   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:38,245-Speed 140.41 samples/sec   Loss 1.7867   LearningRate 0.000007   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:40,513-Speed 141.12 samples/sec   Loss 1.7892   LearningRate 0.000007   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:42,778-Speed 141.31 samples/sec   Loss 1.7372   LearningRate 0.000008   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:04:45,028-Speed 142.26 samples/sec   Loss 1.7239   LearningRate 0.000008   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:04:47,284-Speed 141.88 samples/sec   Loss 1.7400   LearningRate 0.000008   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:04:49,569-Speed 140.11 samples/sec   Loss 1.7457   LearningRate 0.000008   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:04:51,842-Speed 140.84 samples/sec   Loss 1.7636   LearningRate 0.000008   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:04:54,130-Speed 139.89 samples/sec   Loss 1.6504   LearningRate 0.000008   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:04:56,401-Speed 140.97 samples/sec   Loss 1.6992   LearningRate 0.000008   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:04:58,673-Speed 140.83 samples/sec   Loss 1.7174   LearningRate 0.000009   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:00,957-Speed 140.14 samples/sec   Loss 1.6756   LearningRate 0.000009   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:03,223-Speed 141.26 samples/sec   Loss 1.7100   LearningRate 0.000009   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:05,489-Speed 141.29 samples/sec   Loss 1.6708   LearningRate 0.000009   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:07,745-Speed 141.84 samples/sec   Loss 1.7051   LearningRate 0.000009   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:10,012-Speed 141.23 samples/sec   Loss 1.6737   LearningRate 0.000009   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:12,266-Speed 142.00 samples/sec   Loss 1.6578   LearningRate 0.000010   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:05:14,513-Speed 142.46 samples/sec   Loss 1.6594   LearningRate 0.000010   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:16,780-Speed 141.17 samples/sec   Loss 1.6319   LearningRate 0.000010   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:19,040-Speed 141.64 samples/sec   Loss 1.6594   LearningRate 0.000010   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:21,316-Speed 140.59 samples/sec   Loss 1.6323   LearningRate 0.000010   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:23,578-Speed 141.58 samples/sec   Loss 1.6181   LearningRate 0.000010   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:25,850-Speed 140.84 samples/sec   Loss 1.6411   LearningRate 0.000010   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:28,126-Speed 140.65 samples/sec   Loss 1.6000   LearningRate 0.000011   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:30,413-Speed 139.94 samples/sec   Loss 1.6088   LearningRate 0.000011   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:32,720-Speed 138.74 samples/sec   Loss 1.5887   LearningRate 0.000011   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:35,017-Speed 139.38 samples/sec   Loss 1.5823   LearningRate 0.000011   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:37,309-Speed 139.62 samples/sec   Loss 1.6069   LearningRate 0.000011   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 131072   Required: 4 hours
Training: 2023-08-17 21:05:39,587-Speed 140.51 samples/sec   Loss 1.6188   LearningRate 0.000011   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:41,869-Speed 140.26 samples/sec   Loss 1.5849   LearningRate 0.000012   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:44,168-Speed 139.26 samples/sec   Loss 1.5972   LearningRate 0.000012   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:46,435-Speed 141.15 samples/sec   Loss 1.6007   LearningRate 0.000012   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:48,701-Speed 141.25 samples/sec   Loss 1.5546   LearningRate 0.000012   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:50,970-Speed 141.12 samples/sec   Loss 1.5690   LearningRate 0.000012   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:53,229-Speed 141.67 samples/sec   Loss 1.5236   LearningRate 0.000012   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:55,499-Speed 140.98 samples/sec   Loss 1.5589   LearningRate 0.000013   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:05:57,755-Speed 141.93 samples/sec   Loss 1.5340   LearningRate 0.000013   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:00,025-Speed 141.01 samples/sec   Loss 1.5562   LearningRate 0.000013   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:02,287-Speed 141.48 samples/sec   Loss 1.5730   LearningRate 0.000013   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:04,548-Speed 141.55 samples/sec   Loss 1.5860   LearningRate 0.000013   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:06,819-Speed 140.98 samples/sec   Loss 1.5279   LearningRate 0.000013   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:09,084-Speed 141.26 samples/sec   Loss 1.5429   LearningRate 0.000013   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:11,364-Speed 140.40 samples/sec   Loss 1.5158   LearningRate 0.000014   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:13,641-Speed 140.62 samples/sec   Loss 1.5556   LearningRate 0.000014   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:15,913-Speed 140.89 samples/sec   Loss 1.5507   LearningRate 0.000014   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:18,171-Speed 141.75 samples/sec   Loss 1.5355   LearningRate 0.000014   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:20,448-Speed 140.52 samples/sec   Loss 1.4903   LearningRate 0.000014   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:22,726-Speed 140.52 samples/sec   Loss 1.5596   LearningRate 0.000014   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:25,007-Speed 140.35 samples/sec   Loss 1.5186   LearningRate 0.000015   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:27,272-Speed 141.28 samples/sec   Loss 1.4999   LearningRate 0.000015   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:29,536-Speed 141.41 samples/sec   Loss 1.5263   LearningRate 0.000015   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:31,805-Speed 141.08 samples/sec   Loss 1.5303   LearningRate 0.000015   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:34,071-Speed 141.22 samples/sec   Loss 1.4969   LearningRate 0.000015   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:36,332-Speed 141.61 samples/sec   Loss 1.4949   LearningRate 0.000015   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:06:38,579-Speed 142.44 samples/sec   Loss 1.4579   LearningRate 0.000015   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:40,620-Val on RAF/AffectNet:
Training: 2023-08-17 21:06:40,894-Test: [0/48]	Time 0.273 (0.273)	Loss 0.7824 (0.7824)	Acc@1 82.812 (82.812)	Acc@5 100.000 (100.000)	Mem 5268MB
Training: 2023-08-17 21:06:42,006-Test: [10/48]	Time 0.110 (0.126)	Loss 0.7814 (0.7710)	Acc@1 82.812 (82.812)	Acc@5 100.000 (99.148)	Mem 5268MB
Training: 2023-08-17 21:06:43,105-Test: [20/48]	Time 0.109 (0.118)	Loss 0.6356 (0.7846)	Acc@1 90.625 (81.622)	Acc@5 100.000 (99.033)	Mem 5268MB
Training: 2023-08-17 21:06:44,198-Test: [30/48]	Time 0.106 (0.115)	Loss 0.8867 (0.7920)	Acc@1 75.000 (81.099)	Acc@5 96.875 (98.841)	Mem 5268MB
Training: 2023-08-17 21:06:45,259-Test: [40/48]	Time 0.106 (0.113)	Loss 0.7112 (0.7903)	Acc@1 85.938 (81.288)	Acc@5 100.000 (98.895)	Mem 5268MB
Training: 2023-08-17 21:06:46,020-[999]Expression Loss: 0.79207
Training: 2023-08-17 21:06:46,021-[999]Expression Acc@1: 81.35593
Training: 2023-08-17 21:06:46,021-[999]Expression Acc@1-Highest: 81.35593
Training: 2023-08-17 21:06:46,021-[999]Expression Acc@5: 98.98957
Training: 2023-08-17 21:06:46,021-[999]Expression Acc@5-Highest: 98.98957
Training: 2023-08-17 21:06:46,021-[999]10 Times Expression Acc@1: 81.35593
Training: 2023-08-17 21:06:46,021-[999]10 Times Expression Acc@1-Highest: 81.35593
Training: 2023-08-17 21:06:46,249-Speed 41.72 samples/sec   Loss 1.5070   LearningRate 0.000016   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:48,527-Speed 140.48 samples/sec   Loss 1.4938   LearningRate 0.000016   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:50,789-Speed 141.52 samples/sec   Loss 1.4810   LearningRate 0.000016   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:53,054-Speed 141.31 samples/sec   Loss 1.5206   LearningRate 0.000016   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:55,334-Speed 140.41 samples/sec   Loss 1.5315   LearningRate 0.000016   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:57,624-Speed 139.77 samples/sec   Loss 1.5006   LearningRate 0.000016   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:06:59,914-Speed 139.79 samples/sec   Loss 1.5315   LearningRate 0.000017   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:02,209-Speed 139.47 samples/sec   Loss 1.4799   LearningRate 0.000017   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:04,516-Speed 138.69 samples/sec   Loss 1.5070   LearningRate 0.000017   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:06,830-Speed 138.39 samples/sec   Loss 1.5001   LearningRate 0.000017   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:09,106-Speed 140.59 samples/sec   Loss 1.5396   LearningRate 0.000017   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:11,395-Speed 139.86 samples/sec   Loss 1.5041   LearningRate 0.000017   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:13,673-Speed 140.52 samples/sec   Loss 1.4855   LearningRate 0.000018   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:15,962-Speed 139.83 samples/sec   Loss 1.4704   LearningRate 0.000018   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:18,244-Speed 140.28 samples/sec   Loss 1.5261   LearningRate 0.000018   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:20,529-Speed 140.07 samples/sec   Loss 1.4847   LearningRate 0.000018   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 65536   Required: 4 hours
Training: 2023-08-17 21:07:22,804-Speed 140.74 samples/sec   Loss 1.5227   LearningRate 0.000018   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:25,078-Speed 140.72 samples/sec   Loss 1.5298   LearningRate 0.000018   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:27,364-Speed 140.02 samples/sec   Loss 1.4748   LearningRate 0.000018   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:29,657-Speed 139.61 samples/sec   Loss 1.4414   LearningRate 0.000019   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:31,957-Speed 139.21 samples/sec   Loss 1.4767   LearningRate 0.000019   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2023-08-17 21:07:34,238-Speed 140.27 samples/sec   Loss 1.4988   LearningRate 0.000019   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 32768   Required: 4 hours
